               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.026079,            0.038438,                   0,             0.96443,             0.97143,             0.99305,              0.6972,            0.031301,            0.024637,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.026485,            0.036821,                   0,             0.98204,             0.94286,             0.98899,             0.72007,            0.029538,            0.024292,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.024324,            0.033995,                   0,                   1,             0.96713,             0.98595,             0.77479,            0.026312,            0.023131,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.024893,            0.034678,                   0,             0.96106,             0.92857,             0.98153,             0.77293,            0.025642,            0.024005,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.024485,            0.035642,                   0,             0.96737,             0.97143,             0.99266,             0.67138,            0.032669,            0.024817,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.025528,             0.03342,                   0,             0.95411,             0.95714,             0.99089,             0.71224,            0.028943,            0.025301,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.025628,            0.034287,                   0,                   1,             0.94765,             0.98934,             0.72741,            0.030696,            0.024453,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.024371,            0.035221,                   0,             0.98551,             0.97156,             0.99429,             0.75252,            0.026227,            0.024043,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.025149,            0.035089,                   0,             0.96547,             0.91429,             0.98496,             0.66633,            0.029943,            0.025301,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.024016,            0.034885,                   0,              0.9714,             0.97031,              0.9893,             0.74189,            0.029119,            0.025346,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.023938,            0.035987,                   0,             0.97138,             0.96986,             0.99067,              0.7296,            0.028358,            0.022986,                   0,            0.008416,            0.008416,            0.008416
                  50,             0.02427,            0.035573,                   0,             0.96761,             0.94286,              0.9837,             0.74911,            0.027022,            0.022419,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.023829,            0.033401,                   0,             0.97168,              0.9802,              0.9928,             0.72546,            0.030491,            0.024272,                   0,             0.00835,             0.00835,             0.00835
                  52,             0.02446,             0.03329,                   0,             0.97234,             0.98571,             0.99409,              0.7702,            0.025382,            0.022274,                   0,            0.008317,            0.008317,            0.008317
                  53,             0.02268,            0.032692,                   0,             0.97047,             0.93904,             0.99109,             0.69975,            0.029918,            0.024833,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.023001,            0.032729,                   0,             0.96964,             0.94286,             0.98892,             0.75319,            0.026021,            0.023141,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.022256,            0.031871,                   0,             0.97092,             0.95395,             0.98894,             0.70761,            0.030988,            0.026522,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.024619,            0.034059,                   0,             0.97166,              0.9795,             0.99202,             0.76659,            0.024768,            0.021881,                   0,            0.008185,            0.008185,            0.008185
                  57,             0.02421,            0.032834,                   0,             0.96892,             0.98571,             0.98967,             0.68123,            0.031872,             0.02375,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.023334,             0.03482,                   0,              0.9713,             0.96702,             0.98856,             0.75914,            0.022899,            0.021291,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.022938,            0.030376,                   0,             0.98588,             0.99737,             0.99486,             0.76608,            0.026424,            0.021204,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.022388,            0.032675,                   0,             0.97909,             0.95714,             0.99152,             0.75568,             0.02666,            0.023338,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.021727,            0.032207,                   0,             0.98012,             0.95714,             0.99174,             0.75866,            0.025891,            0.023857,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.019736,            0.030863,                   0,             0.98582,                   1,              0.9943,             0.80546,            0.023617,            0.020459,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.021144,            0.030831,                   0,              0.9804,             0.98571,             0.99373,             0.72419,            0.030643,            0.022493,                   0,            0.007954,            0.007954,            0.007954
                  64,             0.02301,            0.033358,                   0,             0.97208,             0.99467,             0.99372,             0.77052,            0.025762,            0.022728,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.023854,            0.032369,                   0,             0.96625,             0.97143,             0.99345,             0.72428,            0.029078,             0.02298,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.022874,            0.032474,                   0,             0.99925,                   1,               0.995,             0.78811,            0.021955,            0.020662,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.022725,            0.031919,                   0,             0.99962,             0.98571,             0.99446,             0.74988,            0.026989,             0.02238,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.021913,            0.032243,                   0,             0.98549,              0.9701,             0.99299,             0.76413,            0.024089,            0.021777,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.020777,            0.033823,                   0,             0.97518,             0.97143,             0.99006,             0.78835,             0.02298,            0.021333,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.020317,            0.031779,                   0,             0.96051,             0.97143,             0.99309,             0.79834,            0.021841,            0.021004,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.020562,            0.031924,                   0,             0.95501,             0.97143,             0.98933,             0.76738,            0.027931,            0.023006,                   0,             0.00769,             0.00769,             0.00769
                  72,             0.02213,            0.031377,                   0,             0.94291,             0.94374,             0.99141,             0.76273,            0.026667,            0.023064,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.021532,            0.029931,                   0,             0.98232,             0.94286,             0.99173,             0.76604,             0.02561,            0.022993,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.020974,            0.030526,                   0,              0.9855,             0.97093,             0.99364,             0.76416,            0.025067,            0.022213,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.021995,            0.032176,                   0,             0.97085,             0.95177,             0.99115,             0.75298,            0.026797,            0.023705,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.020922,            0.032294,                   0,             0.96974,             0.91566,             0.98347,             0.75353,            0.025205,            0.026213,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.018231,            0.028328,                   0,             0.98453,             0.90941,             0.98213,             0.75918,             0.02418,            0.024002,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.018713,            0.030141,                   0,             0.98826,             0.94286,             0.98789,             0.78311,            0.022804,            0.022325,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.020201,            0.029736,                   0,             0.97127,             0.96596,             0.99191,             0.74367,            0.028447,            0.023895,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.021066,            0.029687,                   0,             0.94323,             0.94945,             0.98259,              0.8175,            0.021698,            0.020688,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.019549,            0.030188,                   0,             0.95133,             0.94286,             0.98426,             0.78793,            0.024328,            0.021868,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.019335,             0.03163,                   0,             0.97839,             0.95714,             0.99026,             0.76731,            0.022753,            0.021884,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.019583,            0.031492,                   0,             0.96679,             0.98571,             0.99347,             0.79446,            0.025154,            0.022106,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.021536,            0.031649,                   0,             0.98812,             0.97143,             0.99458,             0.80038,            0.020774,            0.020404,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.020339,            0.029001,                   0,             0.96945,             0.98571,             0.99416,             0.80178,            0.026471,            0.020991,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.019023,            0.029733,                   0,             0.98322,                   1,             0.99472,             0.78802,            0.021917,             0.02003,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.019228,            0.030046,                   0,             0.95979,             0.97143,             0.99244,             0.80568,            0.026658,            0.021068,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.021531,            0.030085,                   0,             0.99386,             0.97143,             0.99445,             0.78546,            0.022645,            0.020801,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.020232,            0.029638,                   0,             0.95857,             0.99152,             0.99291,             0.82672,            0.023085,             0.02151,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.019688,            0.029759,                   0,             0.96429,             0.91429,             0.98139,             0.77842,            0.024636,            0.022919,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.018789,            0.028736,                   0,              0.9256,                 0.9,             0.97398,             0.74147,            0.029062,            0.024024,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.019282,            0.029307,                   0,               0.952,             0.94286,             0.98908,             0.80456,            0.022831,            0.022848,                   0,            0.006997,            0.006997,            0.006997
                  93,             0.01884,            0.028951,                   0,             0.93104,             0.92857,             0.97682,             0.76902,              0.0274,            0.024063,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.017867,            0.028684,                   0,             0.96005,             0.95714,             0.99033,             0.79579,            0.022451,            0.022551,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.019536,            0.030293,                   0,             0.95705,             0.95496,             0.98221,             0.77419,             0.02821,            0.023402,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.019865,            0.030926,                   0,             0.95702,             0.95442,             0.98954,              0.8087,            0.021434,            0.021249,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.019041,            0.027822,                   0,             0.95872,             0.94286,             0.98604,             0.79598,            0.022779,            0.022441,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.017922,            0.028596,                   0,             0.95223,             0.97143,             0.99058,             0.81071,            0.022091,            0.021684,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.017249,            0.027733,                   0,             0.94378,             0.95927,             0.99089,             0.81258,            0.022274,            0.020691,                   0,            0.006766,            0.006766,            0.006766
                 100,             0.01778,             0.02624,                   0,              0.9588,             0.99741,             0.99346,             0.78373,            0.023011,            0.020981,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.018165,            0.029438,                   0,             0.97128,             0.96631,             0.99244,             0.79844,             0.02225,            0.021694,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.016942,            0.030094,                   0,             0.98303,                   1,             0.99444,             0.78553,            0.022359,             0.02082,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.017329,             0.02824,                   0,             0.98239,                   1,              0.9943,             0.81966,             0.01938,             0.01907,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.016848,             0.03046,                   0,             0.96809,             0.98571,             0.99195,             0.82322,            0.019944,            0.019002,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.016734,            0.026704,                   0,             0.97081,             0.95014,             0.98892,             0.81076,            0.022574,            0.021491,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.015897,            0.027427,                   0,             0.98503,             0.94034,             0.98142,             0.78518,            0.022634,            0.021545,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.017618,            0.029203,                   0,              0.9623,             0.92857,             0.97284,             0.75875,            0.025934,            0.022751,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.018546,             0.02812,                   0,             0.97126,             0.96564,             0.99261,             0.80057,            0.021771,            0.021623,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.017834,            0.027171,                   0,             0.94872,             0.94286,              0.9733,             0.77747,            0.023483,              0.0219,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.017632,            0.030369,                   0,             0.95991,                   1,             0.99372,             0.79625,            0.022189,            0.021739,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.017293,            0.026652,                   0,             0.95225,             0.95714,             0.97729,             0.79989,            0.022743,            0.021507,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.018229,            0.028055,                   0,              0.9722,                   1,             0.99374,             0.79866,             0.02108,            0.020914,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.018182,             0.02799,                   0,             0.97595,             0.97143,             0.99282,             0.77462,             0.02431,            0.023067,                   0,            0.006304,            0.006304,            0.006304
